Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Staten Island,Black,2019,591,440,74.5,52,8.8
Staten Island,Black,2018,643,465,72.3,49,7.6
Staten Island,Black,2017,620,419,67.6,44,7.1
Staten Island,Black,2016,655,439,67.0,54,8.2
Staten Island,Black,2015,640,449,70.2,54,8.4
Staten Island,Black,2014,689,428,62.1,78,11.3
Staten Island,Black,2013,678,437,64.5,81,11.9
Staten Island,Black,2012,702,462,65.8,72,10.3
Staten Island,Black,2018,631,500,79.2,74,11.7
Staten Island,Black,2017,614,477,77.7,93,15.1
Staten Island,Black,2016,650,490,75.4,90,13.8
Staten Island,Black,2015,638,490,76.8,74,11.6
Staten Island,Black,2014,676,483,71.4,125,18.5
Staten Island,Black,2013,671,476,70.9,104,15.5
Staten Island,Black,2012,689,508,73.7,98,14.2
Staten Island,Black,2018,631,496,78.6,74,11.7
Staten Island,Black,2017,614,474,77.2,94,15.3
Staten Island,Black,2016,650,487,74.9,90,13.8
Staten Island,Black,2015,638,488,76.5,74,11.6
Staten Island,Black,2014,676,479,70.9,125,18.5
Staten Island,Black,2013,671,473,70.5,104,15.5
Staten Island,Black,2012,689,507,73.6,98,14.2
Staten Island,Black,2017,613,489,79.8,96,15.7
Staten Island,Black,2016,649,500,77.0,101,15.6
Staten Island,Black,2015,637,500,78.5,85,13.3
Staten Island,Black,2014,674,500,74.2,118,17.5
Staten Island,Black,2013,658,482,73.3,113,17.2
Staten Island,Black,2012,686,525,76.5,107,15.6
Staten Island,Hispanic,2019,1364,1077,79.0,90,6.6
Staten Island,Hispanic,2018,1205,942,78.2,90,7.5
Staten Island,Hispanic,2017,1225,955,78.0,80,6.5
Staten Island,Hispanic,2016,1229,919,74.8,77,6.3
Staten Island,Hispanic,2015,1132,817,72.2,98,8.7
Staten Island,Hispanic,2014,1176,825,70.2,102,8.7
Staten Island,Hispanic,2013,1157,804,69.5,125,10.8
Staten Island,Hispanic,2012,1150,800,69.6,119,10.3
Staten Island,Hispanic,2019,1364,1056,77.4,90,6.6
Staten Island,Hispanic,2018,1205,921,76.4,90,7.5
Staten Island,Hispanic,2017,1225,913,74.5,82,6.7
Staten Island,Hispanic,2016,1229,899,73.1,77,6.3
Staten Island,Hispanic,2015,1132,779,68.8,98,8.7
Staten Island,Hispanic,2014,1176,791,67.3,102,8.7
Staten Island,Hispanic,2013,1157,775,67.0,125,10.8
Staten Island,Hispanic,2012,1150,772,67.1,119,10.3
Staten Island,Hispanic,2018,1201,980,81.6,128,10.7
Staten Island,Hispanic,2017,1214,1001,82.5,125,10.3
Staten Island,Hispanic,2016,1227,974,79.4,126,10.3
Staten Island,Hispanic,2015,1129,886,78.5,128,11.3
Staten Island,Hispanic,2014,1176,879,74.7,165,14.0
Staten Island,Hispanic,2013,1152,853,74.0,176,15.3
Staten Island,Hispanic,2012,1149,857,74.6,161,14.0
Staten Island,Hispanic,2018,1201,974,81.1,128,10.7
Staten Island,Hispanic,2017,1214,998,82.2,125,10.3
Staten Island,Hispanic,2016,1227,963,78.5,127,10.4
Staten Island,Hispanic,2015,1129,875,77.5,133,11.8
Staten Island,Hispanic,2014,1176,872,74.1,165,14.0
Staten Island,Hispanic,2013,1152,846,73.4,176,15.3
Staten Island,Hispanic,2012,1149,850,74.0,161,14.0
Staten Island,Hispanic,2017,1214,1012,83.4,136,11.2
Staten Island,Hispanic,2016,1229,994,80.9,146,11.9
Staten Island,Hispanic,2015,1132,907,80.1,147,13.0
Staten Island,Hispanic,2014,1177,908,77.1,172,14.6
Staten Island,Hispanic,2013,1154,880,76.3,197,17.1
Staten Island,Hispanic,2012,1148,872,76.0,167,14.5
Staten Island,Multi-Racial,2019,71,62,87.3,1,1.4
Staten Island,Multi-Racial,2018,68,60,88.2,2,2.9
Staten Island,Multi-Racial,2017,44,37,84.1,2,4.5
Staten Island,Multi-Racial,2016,29,20,69.0,1,3.4
Staten Island,Multi-Racial,2015,41,25,61.0,4,9.8
Staten Island,Multi-Racial,2014,43,31,72.1,3,7.0
Staten Island,Multi-Racial,2013,33,24,72.7,1,3.0
Staten Island,Multi-Racial,2012,17,13,76.5,0,0.0
Staten Island,Multi-Racial,2019,71,61,85.9,1,1.4
Staten Island,Multi-Racial,2018,68,58,85.3,3,4.4
Staten Island,Multi-Racial,2017,44,35,79.5,2,4.5
Staten Island,Multi-Racial,2016,29,19,65.5,1,3.4
Staten Island,Multi-Racial,2015,41,25,61.0,4,9.8
Staten Island,Multi-Racial,2014,43,31,72.1,3,7.0
Staten Island,Multi-Racial,2013,33,24,72.7,1,3.0
Staten Island,Multi-Racial,2012,17,13,76.5,0,0.0
Staten Island,Multi-Racial,2018,69,61,88.4,4,5.8
Staten Island,Multi-Racial,2017,43,37,86.0,4,9.3
Staten Island,Multi-Racial,2016,30,22,73.3,2,6.7
Staten Island,Multi-Racial,2015,41,25,61.0,5,12.2
