Borough,Category,Year,# Total Cohort,# Grads,% Grads,# Dropout,% Dropout
Bronx,SWD,2012,3034,1345,44.3,752,24.8
Bronx,SWD,2017,3136,1947,62.1,581,18.5
Bronx,SWD,2016,2995,1821,60.8,662,22.1
Bronx,SWD,2015,3286,1817,55.3,812,24.7
Bronx,SWD,2014,3175,1649,51.9,902,28.4
Bronx,SWD,2013,3085,1535,49.8,903,29.3
Bronx,SWD,2012,3013,1458,48.4,829,27.5
Brooklyn,Not SWD,2019,15869,13896,87.6,702,4.4
Brooklyn,Not SWD,2018,16078,14161,88.1,731,4.5
Brooklyn,Not SWD,2017,16217,14102,87.0,568,3.5
Brooklyn,Not SWD,2016,16624,14081,84.7,805,4.8
Brooklyn,Not SWD,2015,16608,13701,82.5,1020,6.1
Brooklyn,Not SWD,2014,16792,13846,82.5,933,5.6
Brooklyn,Not SWD,2013,16513,13281,80.4,1042,6.3
Brooklyn,Not SWD,2012,17129,13511,78.9,1112,6.5
Brooklyn,Not SWD,2019,15869,13427,84.6,723,4.6
Brooklyn,Not SWD,2018,16078,13712,85.3,740,4.6
Brooklyn,Not SWD,2017,16217,13579,83.7,574,3.5
Brooklyn,Not SWD,2016,16624,13718,82.5,808,4.9
Brooklyn,Not SWD,2015,16608,13047,78.6,1027,6.2
Brooklyn,Not SWD,2014,16792,13240,78.8,933,5.6
Brooklyn,Not SWD,2013,16513,12669,76.7,1042,6.3
Brooklyn,Not SWD,2012,17129,12899,75.3,1112,6.5
Brooklyn,Not SWD,2018,16077,14575,90.7,1046,6.5
Brooklyn,Not SWD,2017,16202,14671,90.6,1009,6.2
Brooklyn,Not SWD,2016,16621,14697,88.4,1131,6.8
Brooklyn,Not SWD,2015,16564,14551,87.8,1315,7.9
Brooklyn,Not SWD,2014,16841,14556,86.4,1583,9.4
